id,details,details_original,confirmed_with_evidence,uuid,level_of_care_id,public_health_function_id,condition_id,age_cohort_id,created_at,updated_at
1,"*	Community awareness on prevention and control methods of meningitis","<div>* Education to pregnant women and families on Meningitis including prevention measures <br />* Promoting good nutrition /create awareness on good nutrition for pregnant women <br />* Education on good hygiene practice including hand hygiene among pregnant women to prevent meningitis <br />* Create awareness among pregnant women on <br />  - Information on ANC attendance <br />  - Information on the importance of immunization for children <br />  - Information/creation of awareness on healthy living<br />* Sensitize community health workers on meningitis in pregnant women including recognition of the signs and symptoms </div>",0,2ca4a7c7-f7bb-418f-a063-21c3a85c1ab4,1,1,1,1,"2020-12-11 07:09:06","2023-04-19 11:23:34"
2,"*	Frequent hand washing  
*	Vaccination: pneumococcal conjugate
*	Vaccination: haemophilus influenzae type b (Hib)
*	Vaccination: meningococcal","<div>* Proper hygiene / handwashing among pregnant women to prevent meningitis <br />* Pregnant women to keep away from people who have meningitis.</div>",0,38d92039-aacb-49b1-9992-19af7c271a02,1,2,1,1,"2020-12-11 07:22:46","2023-04-19 11:25:09"
3,"*	Isolate child suspected with meningitis 
*	Immediate transfer to a higher-level health care facility","<div>* Recognition of signs of meningitis in pregnant women such as neck stiffness , neck and /or back pain; and fever<br />* Urgent referral /transfer to a health facility of pregnant women suspected to have meningitis<br />* Supportive therapy for pregnant women suspected to have meningitis if urgent transfer is not feasible <br />  - Relieve the fever through administration of medication for fever<br />  - Medication for pain <br />  - Encourage fluid intake <br />   - Bed rest </div>",0,fc31684a-688f-4714-b1cb-3c9ff338f03b,1,3,1,1,"2020-12-11 07:28:35","2023-04-19 11:26:55"
4,"*	Psychological and emotional support for meningitis sequel","<div>Psychosocial  by families and communities support for pregnant women with meningitis and who may develop meningitis complications.<br /><br />Psychosocial support and counselling for mothers  who  may experience complication s of meningitis including poor foetal outcomes such as loss of the baby (through miscarriage; still births; ); preterm babies; underweight babies </div>",0,cb032306-7871-4e1d-a1dd-b808a77c8625,1,5,1,1,"2020-12-11 07:32:54","2023-04-19 11:28:50"
5,"*	Community awareness on prevention and control methods of meningitis","<div>* Create awareness to   families and communities   on meningitis and prevention measures among children under 5 years of age<br />* Information to the families and communities  on the importance of immunization for children <br />* Awareness on good nutrition for children<br />* Awareness creation to families on hygiene for children<br />* Provision of IEC materials to communities <br />* Community health workers education /sensitization on meningitis and prevention measures </div>",0,d71685fa-e02b-42e9-90b0-18e7b8ce6bbb,1,1,1,2,"2020-12-11 07:34:22","2023-04-25 12:19:24"
6,"*	Frequent hand washing  
*	Vaccination: pneumococcal conjugate
*	Vaccination: haemophilus influenzae type b (Hib)
*	Vaccination: meningococcal","<div>* Vaccination for children under 5 years of age to prevent meningitis <br />  - H. influenzae type b vaccine (Hib).<br />  - Pneumococcal vaccine.  <br />  - Meningococcal vaccine.  <br />  - MMR (Measles -mumps -Rubella vaccine);   to prevent viral meningitis                                               <br />* Proper hygiene / handwashing  for children under 5 years of age to prevent meningitis <br />* Keep the children under 5 years of age away from people who have meningitis.</div>",0,bd0895af-9d50-4b54-8b60-6bf26a6f499f,1,2,1,2,"2020-12-11 07:36:33","2023-04-25 12:20:13"
7,"*	Isolate child suspected with meningitis 
*	Immediate transfer to a higher-level health care facility","<div>* Recognition of danger signs of meningitis  in infants which include, arching of the back; bulging of fontanelle (the soft spot on the infants head); fever; irritability. <br />* Recognition of danger signs of meningitis in children older than 1 year which include, neck stiffness; neck and /or back pain;  fever; seizures<br />*  Urgent referral /transfer to a health facility of under 5s  suspected to have meningitis<br />* Supportive therapy for under 5s suspected to have meningitis if   immediate referral  to a health facility is not possible. This includes:. <br />  - Give oral fluids<br />  - Proper feeding for the under 5s with meningitis <br />  - Manage fever e.g. through sponging or use of medicines for reducing fever such as paracetamol <br />  - Relieve pain through use of medicines for reducing pain (analgesics)  in under 5s with meningitis </div>",0,2e87a3c6-689a-428a-b703-7df08c3b6df9,1,3,1,2,"2020-12-11 08:04:09","2023-04-25 12:21:41"
8,"*	Home-based physical rehabilitation","<div>* Rehabilitation and follow up of children under 5 years of age with meningitis complications at community level once they are referred down wards from the health facilities     <br />* <strong>Physical therapy </strong>to improve motor coordination and mobility<br />* <strong>Occupational therapy</strong> to develop everyday skills  </div>",0,9653dec5-e727-443d-8ba4-98440aaec352,1,4,1,2,"2020-12-11 08:43:50","2023-04-25 12:22:23"
9,"*	Community awareness on prevention and control methods of meningitis","<div>* Create awareness to families, communities   and schools on Meningitis and prevention measures among primary school age children <br />* Provide information/creation of awareness on healthy living for primary school age children <br />* Awareness on good nutrition for primary school age children <br />* Provision of IEC materials through schools<br />* Promote good hygiene practices including hand hygiene  for primary school age children  <br />* Community health workers education /sensitization on meningitis; recognition of meningitis features  and prevention measures for children </div>",0,44d5e0e8-e8ee-47ba-a914-b814b4dea0c0,1,1,1,3,"2020-12-11 11:51:58","2023-03-29 18:36:14"
10,"*	Frequent hand washing  
*	Vaccination: pneumococcal conjugate
*	Vaccination: haemophilus influenzae type b (Hib)
*	Vaccination: meningococcal","<div>* 	Proper hygiene / handwashing  <br />* 	Keeping away from people who have meningitis<br />* 	Vaccination -Meningococcal vaccine.  </div>",0,73ea8fc2-4834-498a-be50-2854c8d32175,1,2,1,3,"2020-12-11 11:52:50","2023-03-29 18:37:55"
